case_id,event_time,text,amount,average_amount,recipient_is_new,recipient_transfer_count,transfers_last_hour,average_transfers_per_hour,transfer_hour,label,label_source
n01,2026-01-01T09:00:00Z,마트 장보기 비용을 이체했습니다,45000,60000,false,24,1,0.8,9,0,synthetic_demo
n02,2026-01-02T10:00:00Z,친구와 점심 식사 비용입니다,30000,50000,false,12,1,0.7,10,0,synthetic_demo
n03,2026-01-03T14:00:00Z,매달 내는 관리비 송금입니다,180000,170000,false,18,1,0.9,14,0,synthetic_demo
n04,2026-01-04T16:00:00Z,손자 생일 선물 비용을 보냈습니다,100000,120000,false,8,1,0.6,16,0,synthetic_demo
n05,2026-01-05T11:00:00Z,병원 진료비 결제입니다,70000,80000,false,15,1,0.7,11,0,synthetic_demo
n06,2026-01-06T13:00:00Z,정기 보험료 납부입니다,130000,130000,false,36,1,0.8,13,0,synthetic_demo
n07,2026-01-07T15:00:00Z,동네 모임 회비를 보냅니다,20000,30000,false,5,1,0.5,15,0,synthetic_demo
n08,2026-01-08T18:00:00Z,자녀에게 약속한 생활비를 보냈습니다,250000,230000,false,20,1,0.6,18,0,synthetic_demo
n09,2026-01-09T08:00:00Z,전기요금 자동 납부 확인입니다,55000,60000,false,40,1,0.7,8,0,synthetic_demo
n10,2026-01-10T12:00:00Z,책값을 계좌이체로 냈습니다,18000,25000,false,4,1,0.5,12,0,synthetic_demo
n11,2026-01-11T17:00:00Z,가족 여행 경비를 나누어 보냈습니다,150000,160000,false,9,1,0.8,17,0,synthetic_demo
n12,2026-01-12T09:00:00Z,월세 이체 예정 금액입니다,500000,500000,false,22,1,0.9,9,0,synthetic_demo
n13,2026-01-13T19:00:00Z,동호회 회비 입금 완료,35000,40000,false,6,1,0.4,19,0,synthetic_demo
n14,2026-01-14T10:00:00Z,식료품 공동구매 비용입니다,65000,70000,false,11,1,0.7,10,0,synthetic_demo
n15,2026-01-15T14:00:00Z,평소 거래처에 대금을 송금합니다,210000,200000,false,32,1,0.8,14,0,synthetic_demo
f01,2026-02-01T02:00:00Z,검찰입니다 지금 바로 안전계좌로 돈을 보내세요,3000000,250000,true,0,5,0.4,2,1,synthetic_demo
f02,2026-02-02T01:00:00Z,금융감독원 직원인데 즉시 이체해야 합니다,2500000,180000,true,0,4,0.3,1,1,synthetic_demo
f03,2026-02-03T03:00:00Z,엄마 휴대폰이 고장났어 인증번호와 돈 보내줘,1800000,150000,true,0,6,0.5,3,1,synthetic_demo
f04,2026-02-04T04:00:00Z,경찰 수사관입니다 계좌로 빨리 송금하세요,4200000,300000,true,0,5,0.4,4,1,synthetic_demo
f05,2026-02-05T00:00:00Z,아들이 사고가 났으니 지금 바로 입금해줘,1500000,130000,true,0,4,0.5,0,1,synthetic_demo
f06,2026-02-06T02:00:00Z,보안카드 번호를 확인하고 안전계좌로 보내세요,2800000,210000,true,0,7,0.4,2,1,synthetic_demo
f07,2026-02-07T01:00:00Z,정부기관 안내입니다 오늘 안에 송금하지 않으면 처벌됩니다,3300000,220000,true,0,5,0.5,1,1,synthetic_demo
f08,2026-02-08T03:00:00Z,검사입니다 당신 계좌가 위험하니 즉시 이체하세요,3900000,260000,true,0,6,0.4,3,1,synthetic_demo
f09,2026-02-09T02:00:00Z,딸이 급하다고 했어요 돈을 빨리 보내 달랍니다,1200000,100000,true,0,4,0.5,2,1,synthetic_demo
f10,2026-02-10T04:00:00Z,은행 직원입니다 OTP를 말하고 송금하세요,2200000,190000,true,0,5,0.4,4,1,synthetic_demo
f11,2026-02-11T00:00:00Z,수사관 요청으로 지금 입금해야 합니다,2700000,200000,true,0,6,0.5,0,1,synthetic_demo
f12,2026-02-12T01:00:00Z,가족 문제라서 당장 돈 보내줘,1600000,120000,true,0,4,0.4,1,1,synthetic_demo
f13,2026-02-13T03:00:00Z,검찰 안전계좌로 즉시 송금 바랍니다,3100000,240000,true,0,5,0.3,3,1,synthetic_demo
f14,2026-02-14T02:00:00Z,비밀번호를 알려주고 계좌로 돈 보내세요,2000000,170000,true,0,6,0.4,2,1,synthetic_demo
f15,2026-02-15T04:00:00Z,경찰 사건 처리비를 오늘 안에 입금하세요,3500000,230000,true,0,5,0.5,4,1,synthetic_demo
